"API NUMBER","WELL NAME","WELL NUMBER",OPERATOR,STATE,COUNTY,"NUMBER OF DAYS ONLINE","CO2, MSCF","SULFUR, LONG TONS","PRODUCTION DATE","OIL, BARRELS","GAS, MSCF","WATER, BARRELS","PRODUCING UNIT NAME"
"=""35037255550000""","Sarty Fry",1-b,"Redland Resources Llc",OK,Creek,,,,2008-08-01,0,173,,"Sarty Fry"
"=""35037255550000""","Sarty Fry",1-b,"Redland Resources Llc",OK,Creek,,,,2008-07-01,0,182,,"Sarty Fry"
"=""35037256630000""",Posey,1,"Dixon Clint A",OK,Creek,,,,2008-09-01,0,670,,Posey
"=""35037256630000""",Posey,1,"Dixon Clint A",OK,Creek,,,,2008-07-01,0,667,,Posey
"=""35037256630000""",Posey,1,"Dixon Clint A",OK,Creek,,,,2008-06-01,0,709,,Posey
"=""35037256630000""",Posey,1,"Dixon Clint A",OK,Creek,,,,2008-05-01,0,753,,Posey
"=""35037256630000""",Posey,1,"Dixon Clint A",OK,Creek,,,,2008-01-01,0,856,,Posey
"=""35037256640000""",Koski,1,"Mark Consulting Inc",OK,Creek,,,,2008-08-01,0,190,,Koski
"=""35037258540000""",Greer,1-10,"D & J Tank Trucks Inc",OK,Creek,,,,2008-11-01,0,120,,Greer
"=""35037258540000""",Greer,1-10,"D & J Tank Trucks Inc",OK,Creek,,,,2008-06-01,0,264,,Greer
"=""35037258540000""",Greer,1-10,"D & J Tank Trucks Inc",OK,Creek,,,,2008-03-01,0,0,,Greer
"=""35037258540000""",Greer,1-10,"D & J Tank Trucks Inc",OK,Creek,,,,2008-01-01,0,917,,Greer
"=""35037258690000""",Watson,1,"Selco Oil And Gas Inc",OK,Creek,,,,2008-11-01,0,284,,Watson
"=""35037258690000""",Watson,1,"Selco Oil And Gas Inc",OK,Creek,,,,2008-06-01,0,431,,Watson
"=""35037256110000""",Wallace,3,"Krumme Oil Company Llp",OK,Creek,,,,2008-05-01,0,2,,Wallace
